,Id,estimate,TempLevel,SalinityLevel,pH_Level,Rep
550,D17,0.002188791,20,35,5.5,1
551,D17,0.00208745,20,35,5.5,2
552,D17,0.002021017,20,35,5.5,3
553,D17,0.002092655,38,15,5.5,1
554,D17,0.002028626,38,15,5.5,2
556,D17,0.001525064,38,35,5.5,1
557,D17,0.001472877,38,35,5.5,2
558,D17,0.001717975,38,35,5.5,3
559,I2,0.002223286,20,0,7.2,1
560,I2,0.002184069,20,0,7.2,2
561,I2,0.001610654,20,0,7.2,3
562,I2,0.002786708,20,20,7.2,1
563,I2,0.002739383,20,20,7.2,2
564,I2,0.002739324,20,20,7.2,3
565,I2,0.002014993,38,20,7.2,1
566,I2,0.002242818,38,20,7.2,2
567,I2,0.002425925,38,20,7.2,3
568,I2,0.002768522,20,5,7.2,1
569,I2,0.002809714,20,5,7.2,2
570,I2,0.002889397,20,5,7.2,3
571,I2,0.002599187,20,25,7.2,1
572,I2,0.002512195,20,25,7.2,2
573,I2,0.002488221,20,25,7.2,3
574,I2,0.001421663,38,5,7.2,1
575,I2,0.001515271,38,5,7.2,2
576,I2,0.00144356,38,5,7.2,3
577,I2,0.003728225,38,25,7.2,1
578,I2,0.003816636,38,25,7.2,2
579,I2,0.003257463,38,25,7.2,3
580,I2,0.002920932,20,10,7.2,1
581,I2,0.002788192,20,10,7.2,2
582,I2,0.003064838,20,10,7.2,3
583,I2,0.00216691,20,30,7.2,1
584,I2,0.001943017,20,30,7.2,2
585,I2,0.002536892,20,30,7.2,3
586,I2,0.002274008,38,10,7.2,1
587,I2,0.002226709,38,10,7.2,2
588,I2,0.002533868,38,10,7.2,3
589,I2,0.001891213,38,30,7.2,1
590,I2,0.002098222,38,30,7.2,2
591,I2,0.002280549,38,30,7.2,3
592,I2,0.003219229,20,15,7.2,1
593,I2,0.002400137,20,15,7.2,2
594,I2,0.002982054,20,15,7.2,3
595,I2,0.001655438,20,35,7.2,1
596,I2,0.002019157,20,35,7.2,2
597,I2,0.00193583,20,35,7.2,3
598,I2,0.002430851,38,15,7.2,1
599,I2,0.002532687,38,15,7.2,2
600,I2,0.00231269,38,15,7.2,3
601,I2,0.002233515,38,35,7.2,1
602,I2,0.002474484,38,35,7.2,2
603,I2,0.00158102,38,35,7.2,3
604,I2,0.002026469,20,0,5.5,1
605,I2,0.001973841,20,0,5.5,2
606,I2,0.001937158,20,0,5.5,3
607,I2,0.002395696,20,20,5.5,1
608,I2,0.002337921,20,20,5.5,2
609,I2,0.002332192,20,20,5.5,3
610,I2,0.002331339,20,5,5.5,1
611,I2,0.002246064,20,5,5.5,2
612,I2,0.002360458,20,5,5.5,3
613,I2,0.001661948,20,25,5.5,1
614,I2,0.002510089,20,25,5.5,2
615,I2,0.002135843,20,25,5.5,3
616,I2,0.000199898,38,5,5.5,1
617,I2,0.000226691,38,5,5.5,2
618,I2,0.000313822,38,5,5.5,3
619,I2,0.002615561,20,10,5.5,1
620,I2,0.002662328,20,10,5.5,2
