"","SampleID","Com_Id","Media","Temp","Evo_status","Stress","Diversity","Id","Abundance"
"264","M1.20.C9","Com9","M1",20,NA,"Control","Four","I15",0.0204200336525478
"265","M1.38.C1","Com1","M1",38,NA,"Temp","Two","I11",0.115447631623994
"266","M1.38.C1","Com1","M1",38,NA,"Temp","Two","I20",0.000684713765192087
"267","M1.38.C1","Com1","M1",38,NA,"Temp","Two","I22",0.0037414716455139
"268","M1.38.C1","Com1","M1",38,NA,"Temp","Two","I8",0.082361284327391
"269","M1.38.C1","Com1","M1",38,NA,"Temp","Two","D17",0.000586897513021789
"270","M1.38.C1","Com1","M1",38,NA,"Temp","Two","I9",0.236275157117355
"271","M1.38.C1","Com1","M1",38,NA,"Temp","Two","D14",0.00716504047147434
"272","M1.38.C1","Com1","M1",38,NA,"Temp","Two","D11",0.000806984080404959
"273","M1.38.C1","Com1","M1",38,NA,"Temp","Two","I23",0.158829139461522
"274","M1.38.C1","Com1","M1",38,NA,"Temp","Two","I18",0.00298339569119409
"275","M1.38.C1","Com1","M1",38,NA,"Temp","Two","I15",0.383977697894505
"276","M1.38.C1","Com1","M1",38,NA,"Temp","Two","I2",0.00714058640843176
"277","M1.38.C10","Com10","M1",38,NA,"Temp","Four","D14",0.00192071617660568
"278","M1.38.C10","Com10","M1",38,NA,"Temp","Four","I23",0.00210443685436796
"279","M1.38.C10","Com10","M1",38,NA,"Temp","Four","I8",0.0437672760069146
"280","M1.38.C10","Com10","M1",38,NA,"Temp","Four","I20",0.01485632207905
"281","M1.38.C10","Com10","M1",38,NA,"Temp","Four","I18",0.00261384418816338
"282","M1.38.C10","Com10","M1",38,NA,"Temp","Four","I9",0.0180547320600934
"283","M1.38.C10","Com10","M1",38,NA,"Temp","Four","I11",0.000275581016643423
"284","M1.38.C10","Com10","M1",38,NA,"Temp","Four","I15",0.812838734999624
"285","M1.38.C10","Com10","M1",38,NA,"Temp","Four","I22",0
"286","M1.38.C10","Com10","M1",38,NA,"Temp","Four","D11",0.0064719784211713
"287","M1.38.C10","Com10","M1",38,NA,"Temp","Four","I2",0.0953844355182176
"288","M1.38.C10","Com10","M1",38,NA,"Temp","Four","D17",0.00171194267914854
"289","M1.38.C11","Com11","M1",38,NA,"Temp","Four","I8",0.0033232465146439
"290","M1.38.C11","Com11","M1",38,NA,"Temp","Four","I23",0.000873590547209914
"291","M1.38.C11","Com11","M1",38,NA,"Temp","Four","D11",0.00795237580604489
"292","M1.38.C11","Com11","M1",38,NA,"Temp","Four","D17",0.00190028459238445
"293","M1.38.C11","Com11","M1",38,NA,"Temp","Four","I15",0.0611783565690407
"294","M1.38.C11","Com11","M1",38,NA,"Temp","Four","I11",0.000252170467235851
"295","M1.38.C11","Com11","M1",38,NA,"Temp","Four","I22",0.00286393602075003
"296","M1.38.C11","Com11","M1",38,NA,"Temp","Four","D14",0.00182823588745992
"297","M1.38.C11","Com11","M1",38,NA,"Temp","Four","I2",0.00466515364386325
"298","M1.38.C11","Com11","M1",38,NA,"Temp","Four","I20",0.184138477610865
"299","M1.38.C11","Com11","M1",38,NA,"Temp","Four","I9",0.727565834504125
"300","M1.38.C11","Com11","M1",38,NA,"Temp","Four","I18",0.00345833783637739
"301","M1.38.C12","Com12","M1",38,NA,"Temp","Four","D17",0.0875991407799075
"302","M1.38.C12","Com12","M1",38,NA,"Temp","Four","D14",0.00126404494382022
"303","M1.38.C12","Com12","M1",38,NA,"Temp","Four","I11",0.000512227362855254
