Id,estimate,TempLevel,Stress,Rep
I2,0.002031489,20,Control,2
I2,0.002132967,20,Control,3
I2,0.002529899,20,Sal,1
I2,0.002528752,20,Sal,2
I2,0.002646563,20,Sal,3
I2,0.002864911,23,Control,1
I2,0.002960855,23,Control,2
I2,0.002814588,23,Control,3
I2,0.003370014,23,Sal,1
I2,0.003178598,23,Sal,2
I2,0.003169353,23,Sal,3
I2,0.003003673,27,Control,1
I2,0.001992037,27,Control,2
I2,0.00293143,27,Control,3
I2,0.003807302,27,Sal,1
I2,0.003642486,27,Sal,2
I2,0.00384431,27,Sal,3
I2,0.002250234,30,Control,1
I2,0.002339734,30,Control,2
I2,0.002037378,30,Control,3
I2,0.003152383,30,Sal,1
I2,0.003212922,30,Sal,2
I2,0.0043876,30,Sal,3
I2,0.001067868,34,Control,2
I2,0.001104181,34,Control,3
I2,0.002836714,34,Sal,1
I2,0.002812357,34,Sal,2
I2,0.00292953,34,Sal,3
I2,0.002734827,38,Sal,1
I2,0.002632651,38,Sal,2
I2,0.002808121,38,Sal,3
I2,0.001740601,15,pH,1
I2,0.001788291,15,pH,2
I2,0.001798001,15,pH,3
I2,0.001241388,15,pH_Sal,1
I2,0.001277329,15,pH_Sal,2
I2,0.001318519,15,pH_Sal,3
I2,0.001708596,20,pH,1
I2,0.00162292,20,pH,2
I2,0.001707598,20,pH,3
I2,0.002241286,20,pH_Sal,1
I2,0.002222917,20,pH_Sal,2
I2,0.002157932,20,pH_Sal,3
I2,0.001665854,23,pH,1
I2,0.001965372,23,pH,2
I2,0.001731458,23,pH,3
I2,0.00200037,23,pH_Sal,1
I2,0.00300296,23,pH_Sal,2
I2,0.002630235,23,pH_Sal,3
I2,0.002016584,27,pH,1
I2,0.001910331,27,pH,2
I2,0.001880632,27,pH,3
I2,0.002419059,27,pH_Sal,1
I2,0.002279391,27,pH_Sal,2
I2,0.002413944,27,pH_Sal,3
I2,0.000850208,30,pH,1
I2,0.00087868,30,pH,2
I2,0.000832168,30,pH,3
I2,0.001893798,30,pH_Sal,1
I2,0.001899602,30,pH_Sal,2
I2,0.00207698,30,pH_Sal,3
I2,0.000614836,34,pH_Sal,1
I2,0.000781368,34,pH_Sal,2
I2,0.001372096,34,pH_Sal,3
I2,0.001526282,38,pH_Sal,3
I8,0.00190633,15,Control,1
I8,0.001978436,15,Control,2
I8,0.002287618,15,Control,3
I8,0.000596007,15,Sal,1
I8,0.000954748,15,Sal,2
I8,0.000422295,15,Sal,3
I8,0.002760077,20,Control,1
I8,0.002856365,20,Control,2
I8,0.002852937,20,Control,3
I8,0.001185697,20,Sal,1
I8,0.001293518,20,Sal,2
I8,0.001127027,20,Sal,3
I8,0.003057284,23,Control,1
I8,0.003484241,23,Control,2
I8,0.003418436,23,Control,3
I8,0.002222536,23,Sal,1
I8,0.001559709,23,Sal,2
I8,0.001623438,23,Sal,3
I8,0.003440136,27,Control,1
I8,0.003465505,27,Control,2
I8,0.003513436,27,Control,3
I8,0.002120265,27,Sal,1
I8,0.002077938,27,Sal,2
I8,0.00278346,27,Sal,3
I8,0.003621693,30,Control,1
I8,0.003605567,30,Control,2
I8,0.00366936,30,Control,3
I8,0.002542281,30,Sal,1
I8,0.002451872,30,Sal,2
I8,0.002274293,30,Sal,3
I8,0.003275731,34,Control,1
I8,0.003296522,34,Control,2
I8,0.003707946,34,Control,3
I8,0.002385265,34,Sal,1
I8,0.002411216,34,Sal,2
I8,0.00273046,34,Sal,3
I8,0.000926533,38,Sal,1
I8,0.00102506,38,Sal,2
I8,0.000604241,38,Sal,3
I8,0.001588919,15,pH,1
I8,0.001582561,15,pH,2
I8,0.001644986,15,pH,3
I8,0.000779747,15,pH_Sal,1
I8,0.000861908,15,pH_Sal,2
I8,0.000897243,15,pH_Sal,3
I8,0.002293461,20,pH,1
I8,0.002253986,20,pH,2
I8,0.002279864,20,pH,3
I8,0.001837932,20,pH_Sal,2
I8,0.001482062,20,pH_Sal,3
I8,0.002599137,23,pH,1
I8,0.002389682,23,pH,2
I8,0.003064863,23,pH,3
I8,0.001937219,23,pH_Sal,1
I8,0.002012559,23,pH_Sal,2
I8,0.001660769,23,pH_Sal,3
I8,0.003963857,27,pH,1
I8,0.004067338,27,pH,2
I8,0.003942813,27,pH,3
I8,0.002338331,27,pH_Sal,1
I8,0.002430785,27,pH_Sal,2
I8,0.002502863,27,pH_Sal,3
I8,0.003820528,30,pH,1
I8,0.003803089,30,pH,2
I8,0.003208604,30,pH,3
I8,0.003398882,30,pH_Sal,1
I8,0.003434802,30,pH_Sal,2
I8,0.003612284,30,pH_Sal,3
I8,0.004106861,34,pH,1
I8,0.00434728,34,pH,2
I8,0.003841153,34,pH,3
I8,0.002296582,34,pH_Sal,1
I8,0.002532666,34,pH_Sal,2
I8,0.002690352,34,pH_Sal,3
I8,0.001412533,38,pH_Sal,1
I8,0.001657173,38,pH_Sal,2
I8,0.002011838,38,pH_Sal,3
I18,0.003002825,15,Control,1
I18,0.002570206,15,Control,2
I18,0.002781139,15,Control,3
I18,0.002424122,15,Sal,1
I18,0.002253905,15,Sal,2
I18,0.002339077,15,Sal,3
I18,0.003566154,20,Control,1
I18,0.003393178,20,Control,3
I18,0.003768342,20,Sal,1
I18,0.003935039,20,Sal,2
I18,0.003758018,20,Sal,3
I18,0.003849257,23,Control,1
I18,0.003239413,23,Control,2
I18,0.00349958,23,Control,3
I18,0.003929516,23,Sal,1
I18,0.003913295,23,Sal,2
I18,0.003774875,23,Sal,3
I18,0.004652494,27,Control,1
I18,0.004015178,27,Control,2
I18,0.003898062,27,Control,3
I18,0.003261099,27,Sal,1
I18,0.003213322,27,Sal,2
I18,0.00317347,27,Sal,3
I18,0.002859896,30,Control,1
I18,0.003926369,30,Control,2
I18,0.004157133,30,Control,3
I18,0.003779093,30,Sal,1
I18,0.003908354,30,Sal,2
I18,0.003446331,30,Sal,3
I18,0.004159125,34,Control,1
I18,0.003610555,34,Control,2
I18,0.002660879,34,Control,3
I18,0.004677861,34,Sal,1
I18,0.005009324,34,Sal,2
I18,0.004277156,34,Sal,3
I18,0.005646746,38,Sal,2
I18,0.004305573,38,Sal,3
I18,0.00456332,38,Sal,1
I18,0.000506829,15,pH,1
I18,0.000482437,15,pH,2
I18,0.00045976,15,pH,3
I18,0.001270735,15,pH_Sal,1
I18,0.001102836,15,pH_Sal,2
I18,0.001346203,15,pH_Sal,3
I18,0.001085088,20,pH,1
I18,0.000455982,20,pH,2
I18,0.000444528,20,pH,3
I18,0.000904118,20,pH_Sal,1
I18,0.000733175,20,pH_Sal,2
I18,0.000846713,20,pH_Sal,3
I18,0.000964336,23,pH,1
I18,0.001525107,23,pH,2
I18,0.000310872,23,pH,3
I18,0.001572304,23,pH_Sal,1
